State,Year,mme,quantity,population,Deaths,deaths_percap,mme_percap
KY,2007,1711929.6717800542,1124460.0,4254428.0,288.0,6.769417651444566e-05,0.4023877409090139
KY,2008,1902939.59516318,1230761.0,4287606.0,401.0,9.352538456192104e-05,0.4438233352512288
KY,2009,2124188.3834809572,1377992.0,4249766.0,385.0,9.059322325040955e-05,0.49983655181978426
KY,2010,2470442.4163117763,1581703.0,4283550.0,616.0,0.00014380595534078044,0.5767278113508133
KY,2011,2755176.2563814684,1772079.0,4313779.0,605.0,0.00014024826028408038,0.6386920276586883
KY,2012,2627707.444423752,1707552.0,4337916.0,704.0,0.00016228991063911796,0.605753418098403
KY,2013,,,,611.0,,
KY,2014,,,,654.0,,
KY,2015,,,,830.0,,
LA,2003,,,,354.0,,
LA,2004,,,,335.0,,
LA,2005,,,,466.0,,
LA,2006,1525601.7653543232,944412.0,4294946.0,509.0,0.00011851138524209618,0.3552086022395446
LA,2007,1621515.0985522917,1025191.0,4368064.0,562.0,0.00012866111851840998,0.37122054497193535
LA,2008,1763487.1692777176,1057660.0,4428152.0,428.0,9.66543153893543e-05,0.39824449776740223
LA,2009,1807101.2250979252,1127703.0,4403958.0,382.0,8.674015510592971e-05,0.4103357082646849
LA,2010,1848681.0549036379,1172959.0,4422660.0,379.0,8.569503421018121e-05,0.41800207452158605
LA,2011,1994458.4449533832,1308623.0,4484596.0,372.0,8.295061584142696e-05,0.44473536634144595
LA,2012,2027672.7643479838,1310424.0,4529605.0,377.0,8.32302154382115e-05,0.4476489151588237
LA,2013,,,,624.0,,
LA,2014,,,,554.0,,
LA,2015,,,,649.0,,
MA,2003,,,,725.0,,
MA,2004,,,,558.0,,
MA,2005,,,,690.0,,
MA,2006,1660689.6878779016,1110106.0,6410084.0,870.0,0.00013572365042330178,0.2590745593783017
MA,2007,1825427.0112873644,1233125.0,6431559.0,848.0,0.00013184983609728217,0.28382341066720596
MA,2008,1876878.7370215943,1273366.0,6468967.0,717.0,0.00011083686158856584,0.29013577237626875
MA,2009,2020513.2261402444,1333840.0,6511176.0,726.0,0.00011150059528416986,0.31031463842172974
MA,2010,2097147.131918018,1424533.0,6477096.0,656.0,0.00010127995632610663,0.32377891757633637
MA,2011,2205117.1651589577,1528082.0,6512227.0,747.0,0.00011470730366125136,0.3386118397222575
MA,2012,2261496.711988997,1537026.0,6560595.0,805.0,0.0001227022853872248,0.3447090869027881
MA,2013,,,,1029.0,,
MA,2014,,,,1220.0,,
MA,2015,,,,1648.0,,
MD,2003,,,,636.0,,
MD,2004,,,,538.0,,
MD,2005,,,,521.0,,
MD,2006,1512334.6216871259,952419.0,5627367.0,645.0,0.00011461843522912225,0.2687463998148914
MD,2007,1711849.713727714,1088261.0,5653408.0,623.0,0.00011019901623940815,0.3027996057825145
MD,2008,1898011.591606519,1184216.0,5684965.0,570.0,0.00010026446952619761,0.3338651322578976
MD,2009,2279799.255325958,1334020.0,5637418.0,632.0,0.00011210806081791345,0.4044048632416397
MD,2010,2647307.392364297,1503898.0,5696423.0,494.0,8.672108795291361e-05,0.46473153281704976
MD,2011,2721987.821079497,1603980.0,5736545.0,557.0,9.709677166308291e-05,0.47449951514012306
MD,2012,2526543.286132619,1712686.0,5785496.0,682.0,0.00011788099067046282,0.4367029700016418
MD,2013,,,,699.0,,
MD,2014,,,,904.0,,
MD,2015,,,,1145.0,,
ME,2003,,,,57.0,,
ME,2004,,,,77.0,,
ME,2005,,,,71.0,,
ME,2006,474779.2306040425,336789.0,1323619.0,87.0,6.57288842181927e-05,0.3586978054893761
ME,2007,537210.5874244332,371173.0,1327040.0,90.0,6.78201109235592e-05,0.40481868476039395
ME,2008,574320.8925518942,395939.0,1330509.0,96.0,7.21528377485609e-05,0.43165502266568223
ME,2009,613194.1654434934,408181.0,1316380.0,80.0,6.0772725200929825e-05,0.46581850639138656
ME,2010,668618.1947447029,461731.0,1327665.0,75.0,5.6490153766198555e-05,0.503604595093418
ME,2011,689900.4726731436,488462.0,1328543.0,92.0,6.924879360321796e-05,0.5192910373794025
ME,2012,670862.8323844264,476729.0,1329084.0,52.0,3.912469038826741e-05,0.5047557809622465
ME,2013,,,,105.0,,
ME,2014,,,,136.0,,
ME,2015,,,,181.0,,
MI,2003,,,,482.0,,
MI,2004,,,,547.0,,
MI,2005,,,,655.0,,
MI,2006,2278904.3315912304,1367088.0,10033994.0,823.0,8.202117721019168e-05,0.22711836698240306
MI,2007,2686328.333709436,1558311.0,9999180.0,922.0,9.220756102000364e-05,0.2686548630697153
MI,2008,3058292.0545995757,1733335.0,9944770.0,922.0,9.271204864466448e-05,0.30752768084124377
MI,2009,3346742.794976415,1906904.0,10036984.0,1088.0,0.00010839909678046712,0.3334410810036576
MI,2010,3645598.037555947,2143834.0,9950565.0,1039.0,0.00010441618139271489,0.3663709585893813
MI,2011,3702628.626502827,2472610.0,9918482.0,1033.0,0.00010414900183314341,0.37330597832438744
MI,2012,3961853.789385228,2807408.0,9895096.0,986.0,9.964531925713505e-05,0.4003855838675267
MI,2013,,,,1254.0,,
MI,2014,,,,1417.0,,
MI,2015,,,,1579.0,,
MN,2003,,,,114.0,,
MN,2004,,,,110.0,,
MN,2005,,,,132.0,,
MN,2006,760493.3128661453,501990.0,5163555.0,149.0,2.88560884894225e-05,0.14728095524617155
MN,2007,832201.8495084606,559914.0,5207203.0,161.0,3.091871010214121e-05,0.15981743932557663
MN,2008,912756.814428999,619446.0,5247018.0,193.0,3.678279739082275e-05,0.1739572485608014
MN,2009,1005695.9557049223,695664.0,5188581.0,230.0,4.432811205992544e-05,0.19382870879435482
MN,2010,1099192.525637575,778053.0,5241914.0,229.0,4.3686332892908966e-05,0.20969297200174877
MN,2011,1169394.5988733817,864499.0,5278190.0,302.0,5.7216583715250874e-05,0.22155219855165914
MN,2012,1216106.6799433383,939984.0,5313081.0,281.0,5.2888333530017704e-05,0.22888916618123048
MN,2013,,,,324.0,,
MN,2014,,,,312.0,,
MN,2015,,,,371.0,,
MO,2003,,,,275.0,,
